FL_DATE,ORIGIN,DEST,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,AIR_TIME,DISTANCE
20161201,MIA,ORD,1645,-7,1915,3,166,1197
20161201,JFK,TUS,1653,-7,2032,-19,310,2136
20161201,DCA,ORD,0751,-8,0914,-8,108,612
20161201,LGA,DFW,1430,-2,1809,19,207,1389
20161201,MIA,TPA,1530,-3,1628,-7,39,204
20161201,LGA,DFW,0851,-9,1209,-10,214,1389
20161201,ONT,DFW,1049,-6,1524,-26,137,1188
20161201,LAX,ATL,2138,-2,0440,-14,210,1946
20161201,DFW,PHX,2214,-8,2347,-12,128,868
20161201,CLT,DFW,2211,1,2353,-13,139,936
20161201,TPA,CLT,1916,-9,2046,-21,68,507
20161201,BOS,CLT,1059,4,1343,16,137,728
20161201,BOS,JFK,0906,-9,1025,-3,49,187
20161201,JFK,BOS,1117,-8,1211,-21,33,187
20161201,DFW,IND,1225,-5,1519,-12,94,761
20161201,IND,DFW,1615,-4,1735,-15,116,761
20161201,SAN,MIA,2212,12,0531,-6,242,2267
20161201,IAH,MIA,0502,-3,0823,-7,113,964
20161201,ORD,SFO,1209,-1,1439,-11,247,1846
20161201,SFO,ORD,1642,-3,2233,-24,208,1846
20161201,MCI,DFW,1721,-4,1924,11,78,460
20161201,SLC,DFW,0748,-2,1149,9,119,989
20161201,MIA,JFK,1357,-10,1634,-25,131,1089
20161201,BWI,MIA,1759,-1,2053,4,148,946
20161201,RDU,DFW,1838,-7,2127,,,1061
20161201,MIA,TPA,0920,0,1027,5,43,204
20161201,DFW,IAH,0845,0,0951,-5,40,224
20161201,ORD,EWR,1917,42,2242,64,95,719
20161201,DFW,IAH,0913,133,1024,132,43,224
20161201,IAH,DFW,1056,114,1204,106,43,224
20161201,LAX,LAS,1644,-6,1814,6,49,236
20161201,ONT,DFW,0818,-7,1256,-17,140,1188
20161201,TUL,DFW,0622,-5,0734,-10,45,237
20161201,MIA,MCO,1320,65,1421,60,43,192
20161201,SAT,DFW,0902,50,1005,40,39,247
20161201,DFW,RSW,1432,-3,1751,-12,123,1017
20161201,RSW,ORD,1847,-11,2044,-21,150,1120
20161201,SJC,DFW,0755,-6,1307,-23,170,1438
20161201,MCO,MIA,0916,8,1022,4,41,192
20161201,MIA,LGA,1138,15,1429,9,135,1096
20161201,BNA,DFW,0925,-9,1138,3,103,631
20161201,DFW,BNA,0705,-5,0846,-7,75,631
20161201,DFW,SJC,1705,0,1843,-11,203,1438
20161201,SEA,MIA,2315,-5,0734,-29,301,2724
20161201,EWR,PHX,1303,-7,1634,-9,312,2133
20161201,DFW,SAN,0923,3,1043,13,175,1171
20161201,DFW,RDU,0655,-5,1016,-16,124,1061
20161201,RDU,ORD,1133,7,1245,5,108,646
20161201,ORD,MCI,2020,-5,2158,1,63,403
20161201,DFW,LGA,1707,-5,2110,-19,160,1389
20161201,SFO,DFW,0756,-4,1330,3,180,1464
20161201,PHX,MSP,1624,-6,2012,-21,153,1276
20161201,SNA,PHX,1249,-11,1459,-20,52,338
20161201,DEN,DFW,0617,-8,0902,-27,84,641
20161201,DFW,LGA,1051,-4,1445,-27,152,1389
20161201,DFW,LGA,1644,-1,2045,-17,160,1389
20161201,LAX,BDL,1546,1,2349,-9,279,2527
20161201,BOS,MIA,0919,-6,1307,6,194,1258
20161201,MIA,IAH,1445,26,1628,13,144,964
20161201,SLC,DFW,1542,2,1903,-15,119,989
20161201,DFW,LGA,1300,0,1711,-3,160,1389
20161201,CLT,EWR,1908,53,2052,41,77,529
20161201,SMF,DFW,0557,-4,1108,-17,162,1431
20161201,MIA,SFO,1425,10,1743,2,354,2585
20161201,LGA,DFW,0954,-6,1301,-9,210,1389
20161201,LAS,LAX,1432,-8,1544,-19,43,236
